B1,B2,B3,B4,B5,B6,B7,B8,B9,RP
-80,-78,-53,-76,-78,-77,-83,-78,-80,P_3_3
-64,-73,-55,-72,-78,-76,-79,-78,-105,P_3_3
-69,-68,-58,-70,-80,-80,-82,-71,-82,P_3_3
-69,-65,-58,-70,-80,-77,-85,-72,-92,P_3_3
-65,-67,-56,-69,-80,-77,-76,-71,-79,P_3_3
-64,-67,-56,-70,-78,-76,-78,-73,-80,P_3_3
-64,-75,-56,-74,-81,-78,-76,-82,-81,P_3_3
-65,-76,-56,-70,-80,-78,-78,-89,-81,P_3_3
-69,-68,-58,-69,-80,-78,-85,-73,-90,P_3_3
-70,-68,-59,-71,-79,-79,-83,-72,-105,P_3_3
-64,-68,-56,-70,-79,-77,-81,-72,-82,P_3_3
-66,-68,-56,-71,-78,-78,-80,-77,-83,P_3_3
-66,-76,-56,-74,-81,-78,-78,-74,-83,P_3_3
-72,-73,-56,-75,-74,-74,-78,-75,-93,P_3_3
-71,-73,-57,-73,-76,-76,-81,-74,-82,P_3_3
-74,-72,-57,-76,-78,-74,-80,-74,-84,P_3_3
-82,-80,-78,-70,-81,-74,-70,-72,-79,P_6_2
-84,-86,-79,-69,-82,-73,-71,-72,-76,P_6_2
-81,-77,-76,-70,-76,-71,-69,-69,-82,P_6_2
-75,-77,-74,-67,-71,-80,-70,-71,-76,P_6_2
-83,-84,-76,-68,-74,-78,-67,-76,-84,P_6_2
-80,-80,-77,-68,-81,-74,-66,-69,-73,P_6_2
-75,-79,-105,-67,-69,-69,-66,-66,-75,P_6_2
-85,-76,-86,-70,-71,-72,-68,-75,-77,P_6_2
-78,-78,-80,-68,-76,-74,-65,-70,-74,P_6_2
-80,-78,-76,-69,-85,-72,-67,-71,-73,P_6_2
-84,-79,-73,-77,-78,-76,-71,-70,-78,P_6_2
-81,-76,-80,-76,-71,-70,-73,-73,-77,P_6_2
-80,-74,-74,-69,-71,-66,-74,-77,-76,P_6_2
-78,-81,-77,-62,-71,-68,-72,-78,-77,P_6_2
-78,-77,-76,-63,-74,-68,-71,-76,-76,P_6_2
-80,-105,-73,-62,-68,-69,-72,-70,-82,P_6_2
-78,-81,-82,-84,-78,-80,-63,-63,-71,P_9_1
-79,-83,-82,-78,-80,-66,-64,-56,-74,P_9_1
-78,-91,-80,-81,-75,-76,-69,-63,-72,P_9_1
-88,-94,-82,-80,-73,-80,-68,-75,-73,P_9_1
-80,-86,-82,-82,-74,-69,-68,-66,-71,P_9_1
-76,-83,-82,-78,-72,-70,-71,-65,-70,P_9_1
-85,-84,-79,-82,-71,-72,-72,-59,-70,P_9_1
-78,-105,-79,-78,-74,-66,-73,-57,-78,P_9_1
-89,-93,-80,-83,-72,-74,-70,-59,-72,P_9_1
-91,-85,-76,-82,-72,-78,-69,-63,-72,P_9_1
-76,-82,-78,-83,-73,-76,-71,-56,-71,P_9_1
-82,-83,-80,-79,-75,-68,-69,-57,-71,P_9_1
-81,-82,-80,-80,-72,-78,-71,-60,-69,P_9_1
-80,-86,-82,-82,-73,-66,-82,-58,-72,P_9_1
-82,-105,-83,-86,-72,-80,-76,-58,-73,P_9_1
-89,-105,-82,-84,-71,-78,-80,-60,-73,P_9_1
-79,-78,-72,-60,-80,-76,-74,-72,-73,P_6_1
-73,-80,-71,-66,-70,-77,-74,-70,-74,P_6_1
-72,-81,-67,-62,-70,-80,-69,-74,-72,P_6_1
-76,-81,-69,-66,-75,-79,-70,-80,-70,P_6_1
-73,-80,-71,-62,-68,-105,-74,-70,-73,P_6_1
-105,-78,-72,-69,-68,-80,-105,-69,-80,P_6_1
-80,-84,-68,-69,-71,-79,-73,-63,-73,P_6_1
-73,-105,-69,-63,-72,-75,-70,-66,-71,P_6_1
-72,-78,-68,-63,-68,-75,-67,-80,-80,P_6_1
-70,-105,-67,-68,-67,-70,-72,-72,-71,P_6_1
-72,-82,-71,-69,-69,-73,-72,-66,-75,P_6_1
-84,-84,-69,-72,-73,-82,-69,-66,-71,P_6_1
-79,-86,-68,-72,-75,-73,-69,-62,-71,P_6_1
-72,-84,-68,-71,-70,-73,-70,-66,-72,P_6_1
-72,-84,-70,-71,-70,-72,-70,-67,-72,P_6_1
-72,-83,-70,-71,-70,-72,-72,-66,-72,P_6_1
-76,-89,-64,-62,-67,-105,-78,-68,-72,P_5_1
-77,-76,-66,-66,-76,-76,-74,-74,-71,P_5_1
-78,-79,-67,-69,-76,-78,-70,-66,-73,P_5_1
-78,-81,-70,-65,-82,-76,-77,-64,-73,P_5_1
-77,-73,-67,-61,-76,-76,-76,-67,-75,P_5_1
-80,-87,-67,-67,-82,-80,-76,-68,-74,P_5_1
-78,-74,-105,-66,-83,-83,-83,-105,-73,P_5_1
-77,-77,-66,-63,-79,-80,-78,-76,-75,P_5_1
-79,-80,-70,-66,-83,-81,-78,-75,-75,P_5_1
-79,-81,-70,-66,-75,-80,-78,-74,-74,P_5_1
-74,-80,-66,-67,-76,-76,-84,-66,-75,P_5_1
-78,-80,-66,-70,-75,-81,-105,-67,-105,P_5_1
-74,-73,-66,-72,-76,-74,-71,-73,-72,P_5_1
-76,-71,-68,-67,-84,-81,-74,-69,-71,P_5_1
-84,-80,-66,-72,-71,-80,-73,-60,-74,P_5_1
